initial_temperature,cooling_factor,epoch_length,no_improve_limit,avg_distance
10,0.99,100,20,131639.4
10,0.99,100,30,123120.4
20,0.8,10,5,532128.6
20,0.8,10,10,486967.2
20,0.8,10,15,457268.8
20,0.8,10,20,436016.6
20,0.8,10,30,409156
20,0.8,20,5,373678.8
20,0.8,20,10,337151.8
20,0.8,20,15,318770.2
20,0.8,20,20,304250.2
20,0.8,20,30,286339
20,0.8,35,5,277831.4
20,0.8,35,10,252385.6
20,0.8,35,15,237741.8
20,0.8,35,20,227905.6
20,0.8,35,30,213373.4
20,0.8,50,5,230276
20,0.8,50,10,209432
20,0.8,50,15,196536.4
20,0.8,50,20,189089.2
20,0.8,50,30,176749.6
20,0.8,100,5,159064.8
20,0.8,100,10,145780.6
20,0.8,100,15,137816
20,0.8,100,20,131953.2
20,0.8,100,30,123309
20,0.85,10,5,534046
20,0.85,10,10,484820
20,0.85,10,15,457918.8
20,0.85,10,20,437507.8
20,0.85,10,30,409633.2
20,0.85,20,5,373144.8
20,0.85,20,10,338911
20,0.85,20,15,319986.2
20,0.85,20,20,304508.4
20,0.85,20,30,285891.8
20,0.85,35,5,278831.8
20,0.85,35,10,253358.6
20,0.85,35,15,238740
20,0.85,35,20,227883.6
20,0.85,35,30,213250.4
20,0.85,50,5,230111.4
20,0.85,50,10,209004
20,0.85,50,15,197500.6
20,0.85,50,20,189396.4
20,0.85,50,30,177120.2
20,0.85,100,5,161906.2
20,0.85,100,10,146254.6
20,0.85,100,15,138155
20,0.85,100,20,131772.2
20,0.85,100,30,122975
20,0.9,10,5,530783.4
20,0.9,10,10,485200.8
20,0.9,10,15,457183.4
20,0.9,10,20,436508.6
20,0.9,10,30,411428.2
20,0.9,20,5,372496.8
20,0.9,20,10,336271.4
20,0.9,20,15,317698
20,0.9,20,20,303085.6
20,0.9,20,30,284792.6
20,0.9,35,5,275377.8
20,0.9,35,10,252122.6
20,0.9,35,15,238088.6
20,0.9,35,20,227569.8
20,0.9,35,30,213451.8
20,0.9,50,5,232226.8
20,0.9,50,10,211354.6
20,0.9,50,15,196483.6
20,0.9,50,20,188886
20,0.9,50,30,176454
20,0.9,100,5,161651.6
20,0.9,100,10,146589
20,0.9,100,15,138279.4
20,0.9,100,20,132086
20,0.9,100,30,123559.8
20,0.95,10,5,533225
20,0.95,10,10,486433.2
20,0.95,10,15,458827
20,0.95,10,20,436878.4
20,0.95,10,30,411018.6
20,0.95,20,5,374156.6
20,0.95,20,10,337998.2
20,0.95,20,15,318463.8
20,0.95,20,20,305794.2
20,0.95,20,30,285761.4
20,0.95,35,5,278478.8
20,0.95,35,10,252449.6
20,0.95,35,15,237502.6
20,0.95,35,20,227674.2
20,0.95,35,30,214565.4
20,0.95,50,5,228348.8
20,0.95,50,10,209595.8
20,0.95,50,15,197635.2
20,0.95,50,20,189361.8
20,0.95,50,30,177477.8
20,0.95,100,5,161231.4
20,0.95,100,10,145758
20,0.95,100,15,137624.2
20,0.95,100,20,131620.6
20,0.95,100,30,122765.8
20,0.99,10,5,531083.2
20,0.99,10,10,486346.4
20,0.99,10,15,459060.4
20,0.99,10,20,437361.4
20,0.99,10,30,410566.8
20,0.99,20,5,372526.2
20,0.99,20,10,338397.6
20,0.99,20,15,319188.8
20,0.99,20,20,305785.2
20,0.99,20,30,285696.4
20,0.99,35,5,279325.8
20,0.99,35,10,252244
20,0.99,35,15,237832.2
20,0.99,35,20,228174.2
20,0.99,35,30,213144.2
20,0.99,50,5,231559.6
20,0.99,50,10,209042.8
20,0.99,50,15,198436.8
20,0.99,50,20,189105.2
20,0.99,50,30,176525
20,0.99,100,5,160440.2
20,0.99,100,10,145419
20,0.99,100,15,136999.4
20,0.99,100,20,132029.6
20,0.99,100,30,122902.4
50,0.8,10,5,533172.4
50,0.8,10,10,485925.4
50,0.8,10,15,457065.4
50,0.8,10,20,437743.6
50,0.8,10,30,410072.8
50,0.8,20,5,373075.2
50,0.8,20,10,339997.4
50,0.8,20,15,318582
50,0.8,20,20,303689
50,0.8,20,30,284869.6
50,0.8,35,5,278988.2
50,0.8,35,10,253673.6
50,0.8,35,15,238755.6
50,0.8,35,20,227272.6
50,0.8,35,30,213237.6
50,0.8,50,5,230294.8
50,0.8,50,10,209964.6
50,0.8,50,15,197905.4
50,0.8,50,20,189095.8
50,0.8,50,30,177400
50,0.8,100,5,159761.8
50,0.8,100,10,146780
50,0.8,100,15,137285
50,0.8,100,20,131975
50,0.8,100,30,123074.2
50,0.85,10,5,532537.6
50,0.85,10,10,484618.4
50,0.85,10,15,456708.4
50,0.85,10,20,435416
50,0.85,10,30,410975.6
50,0.85,20,5,373606.2
50,0.85,20,10,339382.8
50,0.85,20,15,317457.8
50,0.85,20,20,304604.8
50,0.85,20,30,285241.6
50,0.85,35,5,278017.8
50,0.85,35,10,254100.6
50,0.85,35,15,238149
50,0.85,35,20,227074.4
50,0.85,35,30,213682
50,0.85,50,5,228665.4
50,0.85,50,10,211054
50,0.85,50,15,197771.8
50,0.85,50,20,189208.6
50,0.85,50,30,176737.8
50,0.85,100,5,160720
50,0.85,100,10,146087.4
50,0.85,100,15,138450.6
50,0.85,100,20,131203.4
50,0.85,100,30,123555.8
50,0.9,10,5,533414.2
50,0.9,10,10,483520.4
50,0.9,10,15,456794.2
50,0.9,10,20,437460.8
50,0.9,10,30,409844.2
50,0.9,20,5,374085.2
50,0.9,20,10,338375.4
